player_name,team_code,jersey_number,position,height_feet_inches,weight_pounds,college_name,country_name
John Konchar,MEM,46.0,G,6-5,210 lbs,Indiana-Purdue Fort Wayne,USA
Luke Kornet,SAS,7.0,C-F,7-1,250 lbs,Vanderbilt,USA
Vít Krejčí,ATL,27.0,G,6-8,195 lbs,Zaragoza,Czech Republic
Jonathan Kuminga,GSW,1.0,F,6-7,225 lbs,NBA G League Ignite,DRC
Kyle Kuzma,MIL,18.0,F,6-8,221 lbs,Utah,USA
Jock Landale,MEM,31.0,C,6-11,255 lbs,St. Mary's,Australia
Chaz Lanier,DET,20.0,G,6-3,206 lbs,Tennessee,USA
Jake LaRavia,LAL,12.0,F,6-7,235 lbs,Wake Forest,USA
Pelle Larsson,MIA,9.0,G,6-5,215 lbs,Arizona,Sweden
Zach LaVine,SAC,8.0,G,6-5,200 lbs,UCLA,USA
A.J. Lawson,TOR,0.0,G,6-6,179 lbs,South Carolina,Canada
Kawhi Leonard,LAC,2.0,F,6-6,225 lbs,San Diego State,USA
Caris LeVert,DET,8.0,G,6-7,205 lbs,Michigan,USA
E.J. Liddell,BKN,9.0,F,6-6,240 lbs,Ohio State,USA
Damian Lillard,POR,0.0,G,6-2,200 lbs,Weber State,USA
Dereck Lively II,DAL,2.0,C,7-1,230 lbs,Duke,USA
Isaiah Livers,PHX,18.0,F,6-6,232 lbs,Michigan,USA
Chris Livingston,CLE,24.0,F,6-6,220 lbs,Kentucky,USA
Kevon Looney,NOP,55.0,F,6-9,222 lbs,UCLA,USA
Brook Lopez,LAC,11.0,C,7-1,282 lbs,Stanford,USA
Caleb Love,POR,2.0,G,6-3,212 lbs,Arizona,USA
Kevin Love,UTA,42.0,F-C,6-10,251 lbs,UCLA,USA
Kyle Lowry,PHI,7.0,G,6-0,196 lbs,Villanova,USA
Khaman Maluach,PHX,10.0,C,7-1,250 lbs,Duke,South Sudan
Sandro Mamukelashvili,TOR,54.0,F-C,6-9,240 lbs,Seton Hall,Georgia
Terance Mann,BKN,14.0,G-F,6-6,215 lbs,Florida State,USA
Tre Mann,CHA,23.0,G,6-4,178 lbs,Florida,USA
Chris Mañon,LAL,30.0,G,6-4,209 lbs,Vanderbilt,USA
Lauri Markkanen,UTA,23.0,F-C,7-1,240 lbs,Arizona,Finland
Naji Marshall,DAL,13.0,F,6-6,220 lbs,Xavier,USA
